Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,4,symmetric,0.7000000000000001,0.39486562068780556
100% Corpus,4,symmetric,symmetric,0.35007868109683743
100% Corpus,4,asymmetric,0.1,0.44297249372935044
100% Corpus,4,asymmetric,0.4,0.43155518487114797
100% Corpus,4,asymmetric,0.7000000000000001,0.4170052397386041
100% Corpus,4,asymmetric,symmetric,0.3810216814977667
100% Corpus,5,0.1,0.1,0.4137930948817356
100% Corpus,5,0.1,0.4,0.36846767161093585
100% Corpus,5,0.1,0.7000000000000001,0.38835911732918504
100% Corpus,5,0.1,symmetric,0.4185973980785656
100% Corpus,5,0.4,0.1,0.41861967447136106
100% Corpus,5,0.4,0.4,0.44481232751875865
100% Corpus,5,0.4,0.7000000000000001,0.4140890803600528
100% Corpus,5,0.4,symmetric,0.395880729541808
100% Corpus,5,0.7000000000000001,0.1,0.40158644221848244
100% Corpus,5,0.7000000000000001,0.4,0.4006147115504605
100% Corpus,5,0.7000000000000001,0.7000000000000001,0.4034997406202338
100% Corpus,5,0.7000000000000001,symmetric,0.41096724775120164
100% Corpus,5,symmetric,0.1,0.4079541722707522
100% Corpus,5,symmetric,0.4,0.38733901254396547
100% Corpus,5,symmetric,0.7000000000000001,0.4406772683798022
100% Corpus,5,symmetric,symmetric,0.40485954253337
100% Corpus,5,asymmetric,0.1,0.4667965402492474
100% Corpus,5,asymmetric,0.4,0.4405824774907896
100% Corpus,5,asymmetric,0.7000000000000001,0.39113473577922064
100% Corpus,5,asymmetric,symmetric,0.457665268305535
100% Corpus,6,0.1,0.1,0.4178476944588561
100% Corpus,6,0.1,0.4,0.4002782060588854
100% Corpus,6,0.1,0.7000000000000001,0.36618001492186164
100% Corpus,6,0.1,symmetric,0.395186604691977
100% Corpus,6,0.4,0.1,0.43144870085501497
100% Corpus,6,0.4,0.4,0.41732705859126545
100% Corpus,6,0.4,0.7000000000000001,0.4107138200181579
100% Corpus,6,0.4,symmetric,0.4348722478868912
100% Corpus,6,0.7000000000000001,0.1,0.42820991075565673
100% Corpus,6,0.7000000000000001,0.4,0.37096145518145257
100% Corpus,6,0.7000000000000001,0.7000000000000001,0.35739908274936355
100% Corpus,6,0.7000000000000001,symmetric,0.42010208337844634
100% Corpus,6,symmetric,0.1,0.42650142554024933
100% Corpus,6,symmetric,0.4,0.42407350036677477
100% Corpus,6,symmetric,0.7000000000000001,0.38427417852402934
100% Corpus,6,symmetric,symmetric,0.4273073724271948
100% Corpus,6,asymmetric,0.1,0.49011270035640947
100% Corpus,6,asymmetric,0.4,0.4368848404261969
100% Corpus,6,asymmetric,0.7000000000000001,0.426767772688025
100% Corpus,6,asymmetric,symmetric,0.4559043311536673
100% Corpus,7,0.1,0.1,0.44292781620033217
100% Corpus,7,0.1,0.4,0.43002078514526054
100% Corpus,7,0.1,0.7000000000000001,0.44378080310914886
100% Corpus,7,0.1,symmetric,0.4418940591849726
100% Corpus,7,0.4,0.1,0.4764791514667857
100% Corpus,7,0.4,0.4,0.4359069286781538
100% Corpus,7,0.4,0.7000000000000001,0.42284018411817365
100% Corpus,7,0.4,symmetric,0.46344499955591056
100% Corpus,7,0.7000000000000001,0.1,0.4602750079384642
100% Corpus,7,0.7000000000000001,0.4,0.4223442014975684
100% Corpus,7,0.7000000000000001,0.7000000000000001,0.3928453866704791
100% Corpus,7,0.7000000000000001,symmetric,0.4463222222105232
100% Corpus,7,symmetric,0.1,0.461813583602979
100% Corpus,7,symmetric,0.4,0.45286730464318
100% Corpus,7,symmetric,0.7000000000000001,0.403401271890869
100% Corpus,7,symmetric,symmetric,0.45317030419640986
100% Corpus,7,asymmetric,0.1,0.46519021839430214
100% Corpus,7,asymmetric,0.4,0.47068545239364346
100% Corpus,7,asymmetric,0.7000000000000001,0.4556701378767181
100% Corpus,7,asymmetric,symmetric,0.4779969939692255
100% Corpus,8,0.1,0.1,0.4864385810545167
100% Corpus,8,0.1,0.4,0.46668682037088427
100% Corpus,8,0.1,0.7000000000000001,0.44285080320773307
100% Corpus,8,0.1,symmetric,0.47345396978164905
100% Corpus,8,0.4,0.1,0.4789841950756929
100% Corpus,8,0.4,0.4,0.474830081779692
100% Corpus,8,0.4,0.7000000000000001,0.44386871922239246
100% Corpus,8,0.4,symmetric,0.4657684265691757
100% Corpus,8,0.7000000000000001,0.1,0.4594933781688263
100% Corpus,8,0.7000000000000001,0.4,0.4213266200608641
100% Corpus,8,0.7000000000000001,0.7000000000000001,0.4009215168527813
100% Corpus,8,0.7000000000000001,symmetric,0.47394004544132284
100% Corpus,8,symmetric,0.1,0.48862778556641606
100% Corpus,8,symmetric,0.4,0.46224409998104077
100% Corpus,8,symmetric,0.7000000000000001,0.42660711445619504
100% Corpus,8,symmetric,symmetric,0.4858795107904153
100% Corpus,8,asymmetric,0.1,0.5099722928949589
100% Corpus,8,asymmetric,0.4,0.44821109831384864
100% Corpus,8,asymmetric,0.7000000000000001,0.48216792285939253
100% Corpus,8,asymmetric,symmetric,0.505905456491704
100% Corpus,9,0.1,0.1,0.5067916026165267
100% Corpus,9,0.1,0.4,0.4827391140860661
100% Corpus,9,0.1,0.7000000000000001,0.4489290226958535
100% Corpus,9,0.1,symmetric,0.5184153133769714
100% Corpus,9,0.4,0.1,0.4996865231500736
100% Corpus,9,0.4,0.4,0.4657330016993563
100% Corpus,9,0.4,0.7000000000000001,0.4273807427923304
100% Corpus,9,0.4,symmetric,0.5001157471166477
100% Corpus,9,0.7000000000000001,0.1,0.4831473523991688
100% Corpus,9,0.7000000000000001,0.4,0.44146359023537785
100% Corpus,9,0.7000000000000001,0.7000000000000001,0.42165538845699857
100% Corpus,9,0.7000000000000001,symmetric,0.48241412541092527
100% Corpus,9,symmetric,0.1,0.5087308642666446
100% Corpus,9,symmetric,0.4,0.46274822564820994
100% Corpus,9,symmetric,0.7000000000000001,0.4560528352298873
100% Corpus,9,symmetric,symmetric,0.5214448246320171
100% Corpus,9,asymmetric,0.1,0.5128173157212719
100% Corpus,9,asymmetric,0.4,0.4995890564597143
100% Corpus,9,asymmetric,0.7000000000000001,0.4718418786280384
100% Corpus,9,asymmetric,symmetric,0.5182703280558099
