Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,3,asymmetric,symmetric,0.5278153237380101
100% Corpus,4,0.1,0.1,0.5207381901302147
100% Corpus,4,0.1,0.4,0.5112855326776007
100% Corpus,4,0.1,0.7000000000000001,0.530669083326205
100% Corpus,4,0.1,symmetric,0.5067669336809593
100% Corpus,4,0.4,0.1,0.5416612294938002
100% Corpus,4,0.4,0.4,0.5407791751167627
100% Corpus,4,0.4,0.7000000000000001,0.5053241036032581
100% Corpus,4,0.4,symmetric,0.5386011208093615
100% Corpus,4,0.7000000000000001,0.1,0.5523434154088912
100% Corpus,4,0.7000000000000001,0.4,0.5208721122274181
100% Corpus,4,0.7000000000000001,0.7000000000000001,0.5190453499340657
100% Corpus,4,0.7000000000000001,symmetric,0.5196748067793633
100% Corpus,4,symmetric,0.1,0.5119006976216616
100% Corpus,4,symmetric,0.4,0.5387421125802337
100% Corpus,4,symmetric,0.7000000000000001,0.5204538182803493
100% Corpus,4,symmetric,symmetric,0.50871178160879
100% Corpus,4,asymmetric,0.1,0.5332749677849278
100% Corpus,4,asymmetric,0.4,0.5818150184998983
100% Corpus,4,asymmetric,0.7000000000000001,0.5688358924207366
100% Corpus,4,asymmetric,symmetric,0.5570374694724385
100% Corpus,5,0.1,0.1,0.5245906019810899
100% Corpus,5,0.1,0.4,0.5451983174566152
100% Corpus,5,0.1,0.7000000000000001,0.5579749299666312
100% Corpus,5,0.1,symmetric,0.5506491593082546
100% Corpus,5,0.4,0.1,0.5705079740146765
100% Corpus,5,0.4,0.4,0.5467193479725923
100% Corpus,5,0.4,0.7000000000000001,0.5461659669437186
100% Corpus,5,0.4,symmetric,0.5572319653488149
100% Corpus,5,0.7000000000000001,0.1,0.5642375518247084
100% Corpus,5,0.7000000000000001,0.4,0.5217805942901014
100% Corpus,5,0.7000000000000001,0.7000000000000001,0.5075007659822742
100% Corpus,5,0.7000000000000001,symmetric,0.5369491961659018
100% Corpus,5,symmetric,0.1,0.5651250298910908
100% Corpus,5,symmetric,0.4,0.5466308382681793
100% Corpus,5,symmetric,0.7000000000000001,0.5433706667563316
100% Corpus,5,symmetric,symmetric,0.5739670863405958
100% Corpus,5,asymmetric,0.1,0.5537926705079007
100% Corpus,5,asymmetric,0.4,0.5889710683292023
100% Corpus,5,asymmetric,0.7000000000000001,0.5778453183261381
